CODIGO;NOME;DTINICIO;DTFIM;DESCRICAO;INCIDENCIAEXCLUSIVAEMPREGADO
9242;Alimentação em ticket ou cartão, não vinculada ao PAT - Desconto;1012014;;Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de ticket ou cartão, por empresa não vinculada ao PAT;
9243;Cesta básica ou refeição, vinculada ao PAT - Desconto;1012014;;Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de cesta básica ou refeição, por empresa vinculada ao PAT;
9244;Cesta básica ou refeição, não vinculada ao PAT - Desconto;1012014;;Desconto referente à participação do trabalhador no custo de alimentação concedida sob a forma de cesta básica ou refeição, por empresa não vinculada ao PAT;
9250;Seguro de vida - Desconto;1012014;;Desconto referente a participação do trabalhador no custo ou em virtude de concessão do benefício em valor maior;
9253;Empréstimos eConsignado - Desconto;1072024;;Desconto de trabalhadores a título de empréstimos na modalidade eConsignado para repasse à instituição financeira consignatária recolhido em guia do FGTS conforme legislação específica;
9254;Empréstimos consignados - Desconto;1012014;;Desconto de trabalhadores a título de empréstimos consignados, para repasse a instituição financeira consignatária;
9255;Empréstimos do empregador - Desconto;1012014;;Desconto de trabalhadores a título de empréstimos efetuados pelo empregador ao trabalhador;
9258;Convênios;1012014;;Desconto relativos a convênios diversos com empresas para fornecimento de produtos ou serviços ao empregado, sem pagamento imediato, mas com posterior desconto em folha de pagamento como farmácias, supermercados, etc.;
9260;FIES - Desconto;1052018;;Desconto referente à amortização de financiamento do Fundo de Financiamento Estudantil (FIES), para repasse à instituição consignatária;
9270;Danos e prejuízos causados pelo trabalhador;1012014;;Desconto do trabalhador para reparar danos e prejuízos por ele causados;
9290;Desconto de pagamento indevido em meses anteriores;1012014;31072021;Valor correspondente a desconto de verbas pagas indevidamente ao trabalhador em meses anteriores e que estão sendo descontadas no mês de referência, exceto valores relativos a assistência médica, alimentação, previdência complementar e seguro de vida;
9291;Abate-teto;1012014;;Valor deduzido da remuneração total do segurado que supere o teto remuneratório constitucional;
9292;Ressarcimento ao erário;1012014;;Valor deduzido da remuneração para pagamento de ressarcimento ou de penalidade;
